player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Gabriel Enrique Gómez Girón,Midfielder,82.03703703703704,0.7037037037037037,0.14814814814814814,0.037037037037037035,0.037037037037037035,42.851851851851855,0.7037037037037037,82.88614540466392,0.0,0.0,0.0,1.2592592592592593,0.0,6.592592592592593,3.3333333333333335,0.18518518518518517,0.14814814814814814,0.3333333333333333,7.051851390946501,Primera A
Román Aureliano Torres Morcillo,Defender,79.55555555555556,0.8148148148148148,0.0,0.0,0.07407407407407407,27.0,0.2222222222222222,76.0,0.0,0.0,0.0,1.2222222222222223,0.0,5.703703703703703,3.5925925925925926,0.07407407407407407,0.07407407407407407,0.25925925925925924,6.896153,Major League Soccer
Luis Carlos Tejada Hansell,Attacker,75.91891891891892,1.3513513513513513,0.7297297297297297,0.4864864864864865,0.02702702702702703,9.432432432432432,0.7297297297297297,71.0,0.0,0.0,0.0,0.05405405405405406,0.0,5.72972972972973,2.1621621621621623,0.40540540540540543,0.1891891891891892,0.24324324324324326,7.168181,Primera División
B. Pérez,Attacker,82.475,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,Primera Division
Jaime Manuel Penedo Cano,Goalkeeper,89.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,Liga I
F. Baloy,Defender,88.21621621621622,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,0.0,Primera Division
Luis Carlos Ovalle Victoria,Defender,84.33333333333333,0.037037037037037035,0.0,0.0,0.0,6.592592592592593,0.07407407407407407,21.18457552202408,0.0,0.0,0.0,0.2222222222222222,0.0,2.037037037037037,1.1111111111111112,0.07407407407407407,0.07407407407407407,0.4074074074074074,1.871787837219936,Liga Nacional
H. Cummings,Defender,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Copa Centroamericana
F. Escobar,Defender,82.0,0.5384615384615384,0.07692307692307693,0.0,0.0,14.923076923076923,0.23076923076923078,52.2334652148034,0.0,0.0,0.0,1.2307692307692308,0.0,4.538461538461538,2.6153846153846154,0.7692307692307693,0.5384615384615384,0.15384615384615385,4.764539056755716,Major League Soccer
I. Díaz,Attacker,60.17647058823529,0.0,0.0,0.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,Primera División RFEF
J. Calderón,Goalkeeper,87.52380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,Liga Nacional
É. Davis,Defender,80.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,Super Liga
A. Murillo,Defender,79.91176470588236,0.5,0.20588235294117646,0.08823529411764705,0.0,18.764705882352942,0.3235294117647059,68.03396646944852,0.0,0.0,0.0,1.2058823529411764,0.0,5.5,3.2058823529411766,0.4117647058823529,0.29411764705882354,0.08823529411764706,6.118695830553605,Major League Soccer
Y. Bárcenas,Attacker,61.95652173913044,0.0,0.0,0.2173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,Liga de Expansión MX
A. Godoy,Midfielder,81.17142857142856,0.6285714285714286,0.17142857142857143,0.05714285714285714,0.0,38.48571428571429,0.5714285714285714,82.55449829237818,0.0,0.0,0.0,1.3714285714285714,0.0,9.0,5.142857142857143,1.1714285714285715,0.8571428571428571,0.4285714285714286,6.842423998000833,Major League Soccer
A. Arroyo,Attacker,59.76315789473684,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,Primera División - Clausura
R. Ávila,Midfielder,85.28571428571429,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,Concacaf U20
A. Cooper,Midfielder,49.42857142857143,0.4,0.11428571428571428,0.05714285714285714,0.02857142857142857,12.742857142857142,0.42857142857142855,72.7958169810198,0.0,0.0,0.0,0.37142857142857144,0.0,6.228571428571429,2.8285714285714287,1.6571428571428573,0.9142857142857143,0.14285714285714285,6.025436254251015,Major League Soccer
G. Torres,Attacker,52.5,0.0,0.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Super League
