player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating
Mansour Ateeq Al Sobhi Al Harbi,Defender,85.61904761904762,0.2857142857142857,0.047619047619047616,0.0,0.0,12.571428571428571,0.38095238095238093,46.16326530612245,0.0,0.19047619047619047,0.09523809523809523,0.23809523809523808,0.0,2.9523809523809526,1.2857142857142858,0.6190476190476191,0.47619047619047616,0.0,4.17667587755102
Mohanad Aseri Abu Radiah,Attacker,49.45833333333333,1.6666666666666665,0.9166666666666667,0.4166666666666667,0.0,6.083333333333334,0.20833333333333331,53.35040509259259,0.0,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.0,5.916666666666666,3.25,0.2916666666666667,0.16666666666666666,4.0,6.873367165798611
Yasser Al-Mosailem,Goalkeeper,90.0,0.0,0.0,0.0,0.0,8.61111111111111,0.0,47.635802469135804,1.9444444444444446,0.0,0.0,0.0,0.7777777777777778,0.38888888888888884,0.3333333333333333,0.0,0.0,1.0,5.643209567901234
Motaz Hawsawi,Defender,55.92307692307692,0.23076923076923078,0.07692307692307693,0.0,0.0,21.153846153846153,0.0,56.573964497041416,0.0,0.23076923076923078,0.23076923076923078,0.9230769230769231,0.0,3.076923076923077,2.0769230769230766,0.6923076923076923,0.6923076923076923,1.0,6.021775147928995
Mohammad Al-Sahlawi,Attacker,59.96296296296297,0.5555555555555556,0.14814814814814814,0.6296296296296295,0.037037037037037035,2.7037037037037037,0.18518518518518517,46.84362139917695,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,2.148148148148148,0.7407407407407407,0.037037037037037035,0.037037037037037035,1.0,4.64877914951989
Taisir Al Jassim,Midfielder,71.8780487804878,0.21951219512195122,0.0975609756097561,0.21951219512195122,0.024390243902439025,12.999999999999998,0.29268292682926833,57.13979773944081,0.0,0.19512195121951217,0.0,0.29268292682926833,0.0,3.8780487804878048,1.829268292682927,0.6097560975609756,0.41463414634146345,4.0,5.408625817965497
Osama Hawsawi,Defender,87.80487804878048,0.07317073170731708,0.0,0.024390243902439025,0.0,15.53658536585366,0.024390243902439025,59.61111997794576,0.0,0.2682926829268293,0.1951219512195122,0.5853658536585367,0.0,1.8048780487804879,1.2195121951219512,0.0,0.0,3.0,4.596345090756082
Abdulmalek Abdullah Al Khaibri,Midfielder,69.15625,0.0625,0.0,0.0,0.0,12.4375,0.0,51.5181884765625,0.0,0.09375,0.03125,0.625,0.0,1.5,0.8125,0.125,0.125,3.0,3.99117919921875
Abdullah Otayf,Midfielder,65.55,0.15,0.025,0.0,0.05,33.45,0.325,72.559134375,0.0,0.7749999999999999,0.05,0.675,0.0,3.55,2.3000000000000003,0.25,0.2,3.0,6.100627524468749
Hatan Bahbri,Midfielder,64.8235294117647,0.5294117647058824,0.14705882352941177,0.08823529411764705,0.0,7.0,0.4117647058823529,63.84904844290657,0.0,0.29411764705882354,0.0,0.11764705882352941,0.0,2.7941176470588234,1.0294117647058822,0.5,0.23529411764705882,6.0,5.6106553296356605
Omar Hawsawi,Defender,88.35897435897436,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.0,13.256410256410257,0.02564102564102564,48.7508218277449,0.0,0.3076923076923077,0.1794871794871795,0.6153846153846154,0.0,2.41025641025641,1.6153846153846154,0.05128205128205128,0.05128205128205128,3.0,4.262012418730367
Abdullah Al Muaiouf,Goalkeeper,86.81818181818181,0.0,0.0,0.0,0.0,8.772727272727273,0.045454545454545456,46.5388293149375,1.1818181818181817,0.045454545454545456,0.0,0.045454545454545456,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,5.288060924800218
Abdullah Al Khaibari,Midfielder,61.967741935483865,0.25806451612903225,0.0,0.0,0.0,18.516129032258064,0.0,78.79132147509368,0.0,0.5161290322580645,0.0,0.1935483870967742,0.0,2.7096774193548385,1.3548387096774193,0.1935483870967742,0.12903225806451613,3.0,5.954116906924693
Salem Al Dawsari,Midfielder,81.4,1.2222222222222223,0.4444444444444445,0.2,0.06666666666666667,22.022222222222222,0.8666666666666667,63.16774963166183,0.0,0.8444444444444444,0.022222222222222223,0.3333333333333333,0.0,7.955555555555556,3.977777777777778,2.1333333333333333,1.3555555555555554,4.0,5.961602781171704
Mohamed Kanno,Midfielder,76.56521739130434,1.0434782608695654,0.34782608695652173,0.13043478260869565,0.10869565217391304,41.54347826086957,0.7173913043478262,76.16642307596099,0.0,0.9782608695652174,0.043478260869565216,0.9782608695652173,0.0,8.782608695652174,5.08695652173913,1.0434782608695652,0.826086956521739,5.0,6.688444154761098
Salman Al Faraj,Midfielder,80.8157894736842,0.23684210526315788,0.07894736842105263,0.13157894736842105,0.0,20.026315789473685,0.7894736842105263,49.749781309228744,0.0,0.2894736842105263,0.0,0.23684210526315788,0.0,2.6578947368421053,1.3684210526315788,0.5,0.2631578947368421,3.0,4.297200758128007
