,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,3942,home,Gonçalo Guedes,RM,85,0,0,4,4,149,25,0,18,0,0,2,1,0,0,4,35,0,0,0,win,1–0
1,3942,home,Jason,RM,5,0,0,0,0,17,3,0,3,0,0,0,0,1,0,0,6,0,0,1,win,1–0
2,3942,home,Maxi Gómez,FW,90,0,0,1,0,1,23,1,6,2,0,0,0,0,0,0,27,6,0,1,win,1–0
3,3942,home,Denis Cheryshev,LM,76,0,0,0,0,47,8,1,12,4,2,0,4,0,0,1,28,0,0,0,win,1–0
4,3942,home,Rubén Sobrino,LM,14,0,0,0,0,1,1,0,1,0,0,1,2,1,0,1,5,1,0,0,win,1–0
5,3942,home,Hugo Guillamón,CM,2,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,0,0,1,win,1–0
6,3942,home,Daniel Wass,CM,68,0,0,0,3,93,10,0,11,0,0,1,0,0,0,0,22,2,0,1,win,1–0
7,3942,home,Uroš Račić,CM,22,0,0,0,1,11,2,0,3,0,0,0,0,2,0,0,9,2,0,0,win,1–0
8,3942,home,Carlos Soler,CM,85,1,0,0,2,110,10,1,16,2,0,0,1,0,0,0,26,3,0,1,win,1–0
9,3942,home,Mouctar Diakhaby,CM,5,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,5,1,0,0,win,1–0
10,3942,home,José Luis Gayà,LB,90,0,0,0,0,77,13,0,11,3,0,0,1,1,0,0,26,0,0,1,win,1–0
11,3942,home,Omar Alderete,CB,90,0,0,0,1,65,5,0,6,6,0,0,0,2,0,0,20,0,0,1,win,1–0
12,3942,home,Gabriel Paulista,CB,90,0,0,0,0,65,2,0,6,8,0,0,2,2,0,0,21,3,0,0,win,1–0
