,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,3562,home,Ivan Toney,FW,90,0,0,0,4,75,27,0,11,2,0,0,0,0,0,1,33,7,0,0,win,2–0
1,3562,home,Bryan Mbeumo,FW,85,0,0,2,1,13,22,2,15,1,0,0,0,1,0,2,35,0,0,0,win,2–0
2,3562,home,Marcus Forss,FW,5,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,5,0,0,0,win,2–0
3,3562,home,Vitaly Janelt,CM,90,0,0,0,2,57,22,0,19,2,0,2,0,1,0,0,39,1,0,0,win,2–0
4,3562,home,Christian Nørgaard,CM,90,1,0,1,5,167,18,2,25,0,0,1,1,0,0,1,40,2,0,0,win,2–0
5,3562,home,Frank Onyeka,CM,79,0,0,2,2,92,10,1,14,1,0,2,0,0,0,1,26,3,0,0,win,2–0
6,3562,home,Mads Bidstrup,CM,11,0,0,0,0,7,1,0,4,2,0,0,1,0,0,0,8,0,0,0,win,2–0
7,3562,home,Rico Henry,WB,90,0,0,1,3,66,18,0,21,1,0,3,0,2,0,0,38,0,0,0,win,2–0
8,3562,home,Sergi Canós,WB,90,1,0,2,1,181,19,3,13,1,0,3,3,1,0,0,44,0,0,0,win,2–0
9,3562,home,Ethan Pinnock,CB,90,0,1,0,4,213,20,0,30,4,1,0,3,2,0,1,59,3,0,0,win,2–0
10,3562,home,Pontus Jansson,CB,90,0,0,0,0,99,16,0,17,6,0,0,1,1,0,0,30,0,0,0,win,2–0
11,3562,home,Kristoffer Ajer,CB,70,0,0,0,0,154,20,0,21,2,0,1,0,0,0,1,41,0,0,0,win,2–0
12,3562,home,Mads Bech Sørensen,CB,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,win,2–0
13,3562,home,David Raya,GK,90,0,0,0,0,811,20,4,25,0,0,4,0,0,0,0,53,1,0,0,win,2–0
14,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
15,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
16,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
17,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
18,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
19,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
20,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
21,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
22,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
23,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
24,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
25,3562,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
26,3562,away,Folarin Balogun,FW,58,0,0,0,0,2,11,3,3,0,0,0,0,0,0,0,13,1,0,0,loss,2–0
