player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Hristo Stefanov Ivanov,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Friendlies
Petar Dimitrov Zanev,Defender,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Cup
Vasil Bozhikov,Defender,89.1470588235294,0.029411764705882353,0.0,0.0,0.0,3.5294117647058822,0.0,25.742418074496232,0.0,0.058823529411764705,0.058823529411764705,0.20588235294117646,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,2.2286586606961123,Super Liga
Georgi Iliev Rusev,Midfielder,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,UEFA Europa League
Georgi Sarmov,Midfielder,84.75,0.0,0.0,0.0,0.0,2.0,0.0,7.333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,3. Liga
N. Dimitrov,Midfielder,64.05,0.75,0.3,0.1,0.25,14.2,0.95,79.38,0.0,0.65,0.05,0.55,0.0,0.1,0.05,1.0,0.65,0.05,6.98827485825,Premier League
Ivan Bandalovski,Defender,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cup
G. Yomov,Midfielder,60.32142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,First League
Radoslav Vasilev,Attacker,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cup
V. Popov,Defender,86.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,First League
Marcelinho,Midfielder,64.77419354838709,0.45161290322580644,0.0967741935483871,0.1935483870967742,0.03225806451612903,8.580645161290322,0.16129032258064516,29.420966063576245,0.0,0.12903225806451613,0.03225806451612903,0.1935483870967742,0.0,0.0,0.0,0.6129032258064516,0.41935483870967744,0.16129032258064516,2.4502702158369973,First League
T. Chunchukov,Attacker,70.625,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,First League
Wanderson,Midfielder,68.9,0.325,0.175,0.15,0.075,5.125,0.225,27.5625,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.55,0.2,0.175,2.5173749999999995,First League
B. Makendzhiev,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,First League
I. Isa,Attacker,81.125,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,First League
V. Panayotov,Midfielder,77.03225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.0,First League
V. Popov,Defender,86.55172413793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,First League
I. Goranov,Defender,89.35897435897436,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28205128205128205,0.0,First League
B. Chorbadzhiyski,Defender,77.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,Liga I
S. Slavchev,Midfielder,63.6875,0.0625,0.0625,0.0625,0.0,2.0625,0.0625,8.19287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.5665283203125,UEFA Champions League
