player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Dmitri Kruglov,Defender,85.19999999999999,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,Meistriliiga
G. Kams,Defender,80.35135135135135,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,Meistriliiga
M. Vihmann,Defender,70.04761904761905,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,11.857142857142858,0.047619047619047616,48.290249433106574,0.0,0.19047619047619047,0.42857142857142855,0.8571428571428571,0.0,3.1904761904761907,1.9047619047619047,0.0,0.0,0.09523809523809523,5.112044130583451,Eliteserien
Sergei Lepmets,Goalkeeper,90.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,Meistriliiga
S. Puri,Midfielder,77.1142857142857,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,Meistriliiga
I. Antonov,Midfielder,47.34482758620689,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,Premier League
E. Sorga,Attacker,70.7560975609756,0.0,0.0,0.8048780487804879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,Meistriliiga
R. Klavan,Defender,77.45714285714286,0.11428571428571428,0.0,0.0,0.0,30.771428571428572,0.14285714285714285,78.97245481049562,0.0,0.8857142857142857,0.5428571428571428,0.7428571428571429,0.0,0.9714285714285714,0.5142857142857142,0.11428571428571428,0.11428571428571428,0.11428571428571428,6.516832011008746,Serie A
Henrik Ojamaa,Attacker,71.0810810810811,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,I Liga
N. Baranov,Defender,83.55555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.0,Premier League
M. Aksalu,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,Veikkausliiga
S. Zenjov,Attacker,81.3125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,Premier League
K. Vassiljev,Midfielder,80.66666666666666,0.0,0.0,0.3846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Meistriliiga
