player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Azat Nurgaliyev,Midfielder,74.33333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Cup
Yuriy Logvinenko,Defender,84.16666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,14.25,0.08333333333333333,81.66666666666667,0.0,0.5,0.08333333333333333,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6.3388888888888895,UEFA Europa League
Evgeny Postnikov,Defender,84.0,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0,16.785714285714285,0.07142857142857142,72.85714285714285,0.0,1.0714285714285714,0.35714285714285715,0.9285714285714286,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.21428571428571427,5.357142857142857,UEFA Europa League
Sergey Khizhnichenko,Attacker,77.75,0.75,0.0,0.0,0.0,15.0,1.25,77.0,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.75,0.5,0.0,6.55,UEFA Europa League
A. Shchetkin,Attacker,57.866666666666674,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,Premier League
D. Miroshnichenko,Defender,80.51851851851852,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,Premier League
E. Akhmetov,Defender,81.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.0,Premier League
B. Turysbek,Attacker,56.47222222222222,0.0,0.0,0.3055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,Premier League
V. Dmitrenko,Defender,74.45945945945947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0,Premier League
O. Kerimzhanov,Defender,86.42857142857143,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,Premier League
I. Kuat,Midfielder,75.08823529411764,0.0,0.0,0.029411764705882353,0.0,0.7941176470588235,0.029411764705882353,14.510871517342945,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,1.1286233402377843,Premier League
Y. Vorogovskiy,Defender,75.52777777777779,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,Challenger Pro League
A. Marochkin,Defender,87.18181818181819,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,Premier League
T. Dosmagambetov,Defender,87.94736842105263,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,Premier League
A. Beisebekov,Defender,67.075,0.125,0.05,0.05,0.0,2.275,0.075,13.78125,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.225,0.05,0.07500000000000001,1.1980499999999998,Premier League
S. Pokatilov,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,Premier League
A. Tagybergen,Midfielder,83.38235294117646,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,Premier League
B. Islamkhan,Midfielder,72.87878787878788,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,Premier League
M. Fedin,Midfielder,78.60416666666667,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666666,0.0,Premier League
A. Abiken,Midfielder,78.61904761904762,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,Premier League
