player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Deivydas Matulevičius,79303,Attacker,43.81818181818182,0.09090909090909091,0.0,0.0,0.0,1.5454545454545454,0.18181818181818182,15.545454545454545,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,1.890909,Liga II
Ernestas Šetkus,55889,Goalkeeper,90.0,0.0,0.0,0.0,0.0,5.0,0.0,16.8,2.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,2.0499999,World Cup - Qualification Europe
Vaidas Slavickas,55896,Defender,66.67999999999999,0.0,0.0,0.0,0.0,0.84,0.0,2.88,0.0,0.0,0.04,0.0,0.0,0.2,0.12,0.0,0.0,0.2,0.252,A Lyga
Vytautas Andriuškevičius,55891,Defender,84.4,0.4,0.2,0.2,0.0,27.0,0.0,79.0,0.0,1.0,0.4,0.8,0.0,3.0,2.4,0.4,0.2,0.0,6.42,Euro Championship
Justinas Marazas,40287,Midfielder,43.92307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.0,0.23076923076923078,0.5230769230769231,A Lyga
Algis Jankauskas,55894,Defender,73.64285714285714,0.07142857142857142,0.0,0.0,0.0,3.2142857142857144,0.0,10.571428571428571,0.0,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.21428571428571427,0.907142857142857,A Lyga
D. Petravičius,45329,Attacker,56.93333333333334,0.0,0.0,0.23333333333333334,0.0,0.9,0.06666666666666667,8.540888888888889,0.0,0.0,0.0,0.0,0.0,0.7666666666666666,0.3,0.16666666666666666,0.13333333333333333,0.1,1.5638962629629631,Tercera División RFEF - Group 12
S. Mikoliūnas,55899,Defender,86.26829268292684,0.14634146341463414,0.04878048780487805,0.024390243902439025,0.024390243902439025,12.146341463414636,0.0975609756097561,19.48687627863786,0.0,0.7073170731707317,0.17073170731707316,0.7073170731707317,0.0,2.4146341463414633,1.6097560975609757,0.46341463414634143,0.3170731707317073,0.24390243902439024,2.3680067020791924,A Lyga
N. Valskis,55903,Attacker,78.66666666666667,1.5714285714285716,0.9047619047619048,0.38095238095238093,0.0,17.333333333333336,0.38095238095238093,20.57142857142857,0.0,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.0,10.666666666666666,5.714285714285714,0.7142857142857143,0.23809523809523808,0.23809523809523808,6.985118999999999,Indian Super League
K. Chvedukas,69392,Midfielder,44.0,0.0,0.0,0.0,0.0,10.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,6.5,Euro Championship
K. Laukžemis,14490,Attacker,60.72,0.56,0.08,0.2,0.04,5.959999999999999,0.16,16.735104,0.0,0.28,0.0,0.32,0.0,6.24,2.08,0.28,0.08,0.24,4.538233350144,Premier League
M. Palionis,24984,Defender,55.11764705882353,0.1764705882352941,0.0,0.0,0.0,15.588235294117647,0.11764705882352941,32.63667820069204,0.0,0.35294117647058826,0.35294117647058826,0.3529411764705882,0.0,2.4705882352941178,1.411764705882353,0.058823529411764705,0.0,0.11764705882352941,4.048442906574394,2. Bundesliga
E. Zubas,55890,Goalkeeper,90.0,0.0,0.0,0.0,0.0,17.392857142857142,0.0,16.03571428571429,2.214285714285714,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.14285714285714285,0.0,0.0,0.10714285714285714,6.959773928571428,1. Lig
D. Bartkus,55888,Goalkeeper,88.65116279069768,0.0,0.0,0.0,0.0,1.302325581395349,0.0,2.767441860465116,0.3023255813953488,0.0,0.0,0.0,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.0,0.0,0.13953488372093023,0.4627906976744186,Ligat Ha'al
J. Lasickas,40477,Defender,75.36538461538463,0.3461538461538462,0.07692307692307693,0.057692307692307696,0.038461538461538464,6.25,0.3269230769230769,8.797735548475194,0.0,0.4807692307692308,0.038461538461538464,0.23076923076923078,0.0,2.7115384615384617,1.1346153846153846,0.5384615384615384,0.1923076923076923,0.15384615384615385,2.02592171142467,Super Liga
M. Vorobjovas,55900,Midfielder,84.41818181818182,0.09090909090909091,0.03636363636363636,0.03636363636363636,0.01818181818181818,5.8,0.16363636363636364,9.996694214876033,0.0,0.34545454545454546,0.01818181818181818,0.21818181818181817,0.0,1.0545454545454547,0.509090909090909,0.09090909090909091,0.07272727272727272,0.2545454545454546,1.1199999999999999,Liga I
A. Novikovas,40479,Midfielder,70.33962264150944,1.1886792452830188,0.6415094339622641,0.18867924528301885,0.11320754716981132,20.0188679245283,1.3773584905660377,21.235118619511283,0.0,0.3773584905660377,0.0,0.6037735849056604,0.0,6.754716981132074,2.6037735849056602,2.3773584905660377,1.0754716981132075,0.1320754716981132,6.674237480560437,Süper Lig
R. Baravykas,55892,Defender,62.21875,0.125,0.0625,0.03125,0.0,6.6875,0.03125,10.03125,0.0,0.40625,0.03125,0.59375,0.0,1.65625,0.90625,0.34375,0.1875,0.125,1.6531249375000001,Superliga
