player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
R. Snodgrass,Midfielder,63.0,0.875,0.4166666666666667,0.20833333333333334,0.20833333333333334,16.375,1.4166666666666667,73.0,0.0,1.2083333333333333,0.041666666666666664,0.16666666666666666,0.0,8.833333333333334,3.9166666666666665,1.5,0.7916666666666666,0.16666666666666666,6.936363,Premier League
S. Naismith,Attacker,66.72222222222223,0.8333333333333334,0.3333333333333333,0.2222222222222222,0.1111111111111111,16.166666666666668,0.8333333333333334,67.79012345679011,0.0,0.3888888888888889,0.0,0.3888888888888889,0.0,8.333333333333334,3.5555555555555554,0.4444444444444444,0.2222222222222222,0.2777777777777778,6.9323835123456785,Premiership
C. Mulgrew,Defender,87.92307692307692,0.15384615384615385,0.0,0.0,0.0,13.538461538461538,0.0,74.0,0.0,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.0,3.230769230769231,2.4615384615384617,0.3076923076923077,0.3076923076923077,0.15384615384615385,6.8,Championship
Leigh Griffiths,Attacker,42.206896551724135,1.413793103448276,0.5862068965517242,0.3448275862068966,0.06896551724137931,6.379310344827586,0.8620689655172413,59.94636926483251,0.0,0.13793103448275862,0.0,0.06896551724137931,0.0,2.413793103448276,0.6551724137931034,0.24137931034482757,0.034482758620689655,0.10344827586206896,6.74287553704539,Premiership
R. Jack,Midfielder,84.82051282051282,0.717948717948718,0.28205128205128205,0.1282051282051282,0.10256410256410256,38.1025641025641,0.5897435897435898,79.74187022707733,0.0,1.1538461538461537,0.07692307692307693,1.0256410256410255,0.0,2.7948717948717947,1.7435897435897436,0.7948717948717949,0.5641025641025641,0.20512820512820512,6.662642239417388,Premiership
J. McLaughlin,Goalkeeper,88.68571428571428,0.0,0.0,0.0,0.02857142857142857,12.714285714285715,0.02857142857142857,53.623416909620985,1.857142857142857,0.02857142857142857,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,6.907378995498542,League One
O. McBurnie,Attacker,59.97727272727272,1.2045454545454546,0.5909090909090909,0.1590909090909091,0.0,9.386363636363637,0.22727272727272727,59.70247933884298,0.0,0.8636363636363636,0.06818181818181818,0.3636363636363636,0.0,14.159090909090908,6.727272727272727,1.0909090909090908,0.5454545454545454,0.11363636363636365,6.780991338842975,Premier League
M. Phillips,Midfielder,62.951219512195124,1.6341463414634148,0.46341463414634143,0.1951219512195122,0.14634146341463414,14.21951219512195,1.3658536585365855,73.8048780487805,0.0,0.8780487804878049,0.07317073170731707,0.2682926829268293,0.0,7.170731707317073,2.6341463414634148,1.8048780487804879,0.7804878048780487,0.12195121951219512,6.897881048780488,Championship
C. MacGillivray,Goalkeeper,91.07142857142857,0.0,0.0,0.0,0.0,8.785714285714285,0.07142857142857142,37.39285714285714,2.3571428571428568,0.0,0.0,0.0,1.2142857142857142,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,6.678852785714286,League One
S. Findlay,Defender,88.58333333333333,0.4583333333333333,0.041666666666666664,0.16666666666666666,0.041666666666666664,10.25,0.16666666666666666,61.98133680555555,0.0,0.875,0.20833333333333334,0.8333333333333334,0.0,4.5,2.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.651074218749999,Premiership
A. Considine,Defender,88.925,0.35,0.125,0.15,0.05,18.875,0.325,56.850609375000005,0.0,1.0,0.325,0.575,0.0,6.1,3.625,0.175,0.125,0.15,6.25356703125,Premiership
D. Marshall,Goalkeeper,90.0,0.0,0.0,0.0,0.0,15.125,0.025,54.15,2.3,0.025,0.0,0.05,1.25,0.5,0.425,0.0,0.0,0.0,6.722499225,Championship
D. Gallagher,Defender,90.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.0,23.63888888888889,0.4166666666666667,66.46090534979425,0.0,1.4722222222222223,0.4722222222222222,0.75,0.0,8.61111111111111,5.888888888888889,0.7222222222222222,0.6388888888888888,0.25,6.994542129629631,Premiership
