player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
F. Papoulis,1892,Attacker,67.16,0.2,0.04,0.6,0.0,2.32,0.04,5.6000000000000005,0.0,0.0,0.0,0.04,0.0,0.64,0.28,0.08,0.04,0.24,0.54,1. Division
R. Margaça,15356,Midfielder,86.86363636363636,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,1. Division
A. Avraam,15318,Midfielder,72.8,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1. Division
Giorgios Merkis,15282,Defender,81.57499999999999,0.025,0.025,0.025,0.0,0.65,0.025,13.413749999999999,0.0,0.0,0.0,0.075,0.0,0.4,0.275,0.0,0.0,0.175,1.304625,1. Division
Giorgos Vasiliou,1888,Midfielder,70.67999999999999,0.04,0.0,0.0,0.0,1.68,0.04,12.1472,0.0,0.0,0.0,0.16,0.0,0.28,0.2,0.0,0.0,0.24000000000000002,1.1648,1. Division
U. Pardo,15452,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1. Division
G. Efrem,15292,Midfielder,40.29411764705882,0.058823529411764705,0.0,0.35294117647058826,0.0,1.0588235294117647,0.11764705882352941,17.93771626297578,0.0,0.0,0.0,0.058823529411764705,0.0,1.2352941176470589,0.5882352941176471,0.23529411764705882,0.058823529411764705,0.058823529411764705,1.5944636678200692,1. Division
K. Laifis,2103,Defender,86.87234042553193,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.0,Jupiler Pro League
V. Sielis,34651,Defender,89.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,K League 1
O. Roushias,1049,Attacker,26.375,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1. Division
G. Fylaktou,15558,Midfielder,81.77142857142857,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.0,1. Division
A. Makris,15334,Attacker,57.875,0.0,0.0,0.3125,0.0,0.5625,0.0625,7.119140625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.52998046875,1. Division
P. Zachariou,15445,Midfielder,42.92857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1. Division
V. Papafotis,15498,Midfielder,56.65,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,1. Division
J. Demetriou,20335,Defender,87.83333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,League One
D. Christofi,15380,Midfielder,70.14285714285714,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1. Division
K. Artymatas,15289,Midfielder,56.117647058823536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,Super League 1
I. Kousoulos,15371,Defender,78.65853658536585,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,1. Division
