player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
G. Kams,55907,Defender,77.62962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,Meistriliiga
M. Vihmann,39283,Defender,87.5142857142857,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,Meistriliiga
Sergei Lepmets,55905,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,Meistriliiga
S. Puri,55912,Midfielder,77.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,First Division
I. Antonov,43302,Midfielder,62.20689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,1. SNL
J. Tamm,40204,Defender,86.63414634146342,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,Meistriliiga
A. Pikk,40254,Defender,79.7037037037037,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,Super Liga
A. Purje,55386,Attacker,66.85,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,Veikkausliiga
M. Kaljumäe,60625,Midfielder,87.2,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,Veikkausliiga
T. Teniste,39211,Defender,82.64516129032258,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,15.387096774193548,0.7096774193548387,68.42334933369138,0.0,0.0,0.0,0.6129032258064516,0.0,3.774193548387097,2.096774193548387,0.45161290322580644,0.3225806451612903,0.03225806451612903,6.673156247188749,Eliteserien
R. Klavan,30550,Defender,62.19512195121952,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.0,33.0,0.0975609756097561,66.41350206192242,0.0,0.34146341463414637,0.12195121951219512,0.4878048780487805,0.0,3.780487804878049,2.1951219512195124,0.17073170731707316,0.14634146341463414,0.024390243902439025,5.643726620356076,Premier League
B. Lepistu,39167,Midfielder,80.60000000000001,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,Meistriliiga
K. Kallaste,40197,Defender,81.3157894736842,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,Ekstraklasa
S. Luts,66334,Attacker,56.142857142857146,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,Czech Liga
Henrik Ojamaa,40268,Attacker,77.45,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,First NL
N. Baranov,11048,Defender,85.6875,0.03125,0.0,0.0,0.0,22.40625,0.0625,80.60888671875,0.0,0.0,0.0,1.65625,0.0,3.84375,2.375,0.3125,0.25,0.125,6.7497802734375005,Eliteserien
M. Aksalu,55328,Goalkeeper,89.62162162162163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,Veikkausliiga
S. Zenjov,55916,Attacker,57.96875,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,Ekstraklasa
R. Sappinen,37470,Attacker,82.01960784313727,0.0,0.0,0.5490196078431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,Meistriliiga
K. Vassiljev,55914,Midfielder,55.269230769230774,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,Ekstraklasa
A. Dmitrijev,55910,Midfielder,86.025,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,Meistriliiga
H. Anier,34248,Attacker,62.523809523809526,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,Veikkausliiga
K. Mets,48142,Defender,81.0,0.17777777777777776,0.06666666666666667,0.022222222222222223,0.0,30.733333333333334,0.2,80.88427983539096,0.0,0.022222222222222223,0.022222222222222223,1.2444444444444445,0.0,4.466666666666667,2.8,0.17777777777777778,0.17777777777777778,0.19999999999999998,6.7749858845541855,Eredivisie
