player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Gunnar Nielsen,28742,Goalkeeper,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,Úrvalsdeild
R. Baldvinsson,55992,Defender,88.77272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,2. Division - Group 2
S. Nattestad,16034,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1. Division
K. Olsen,55999,Attacker,84.2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Meistaradeildin
M. Olsen,39168,Midfielder,46.63636363636363,0.0,0.0,0.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,Eliteserien
P. Johannesen,70395,Attacker,86.97142857142856,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428572,0.0,Meistaradeildin
G. Vatnhamar,73007,Defender,88.41935483870968,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,Meistaradeildin
H. Hánsson,15643,Midfielder,82.69999999999999,1.1666666666666667,0.43333333333333335,0.2,0.06666666666666667,28.866666666666667,0.7,81.63555555555556,0.0,0.9333333333333333,0.2,0.5,0.0,3.8666666666666667,1.9,1.1666666666666667,0.8333333333333334,0.26666666666666666,6.929066666666667,Superliga
J. Andreasen,70357,Midfielder,85.84444444444443,0.0,0.0,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,Meistaradeildin
D. í Soylu,73026,Midfielder,66.58823529411764,0.0,0.0,0.2058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,Meistaradeildin
H. Vatnsdal,16022,Defender,79.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1. Division
J. Danielsen,72943,Defender,89.14285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,Meistaradeildin
O. Færø,55993,Defender,83.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,1. Division
Andreas Olsen,73017,Attacker,74.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,Meistaradeildin
S. Vatnhamar,55998,Midfielder,86.65517241379311,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,Meistaradeildin
H. Hansen,73008,Midfielder,88.19999999999999,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,Meistaradeildin
B. Wardum,55995,Defender,73.97142857142858,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Meistaradeildin
Á. Jónsson,57291,Defender,89.36363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1. Division
V. í Davidsen,15660,Defender,57.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1. Division
T. Gestsson,55990,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,Meistaradeildin
G. Rólantsson,39225,Defender,56.714285714285715,0.7857142857142857,0.14285714285714285,0.03571428571428571,0.03571428571428571,11.142857142857142,0.5,70.84548104956268,0.0,0.4642857142857143,0.07142857142857142,0.35714285714285715,0.0,2.0714285714285716,1.1071428571428572,0.21428571428571427,0.14285714285714285,0.0,6.574675145772594,Eliteserien
J. Edmundsson,25014,Attacker,64.0,0.9130434782608695,0.4782608695652174,0.21739130434782608,0.043478260869565216,20.304347826086957,0.6521739130434783,76.47826086956522,0.0,0.782608695652174,0.0,0.6956521739130435,0.0,0.0,0.0,1.2173913043478262,0.8695652173913043,0.13043478260869565,6.857763565217391,2. Bundesliga
J. Bjartalíð,70358,Midfielder,84.82978723404256,0.0,0.0,0.48936170212765956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,Meistaradeildin
B. Hendriksson,28752,Midfielder,82.95652173913044,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,Úrvalsdeild
