player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
Vladimirs Kamešs,43459,Midfielder,74.55555555555556,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,Virsliga
Ritvars Rugins,56039,Midfielder,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,Virsliga
V. Fjodorovs,72357,Defender,66.30769230769232,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,Virsliga
D. Ontužāns,70354,Attacker,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,International Champions Cup
I. Tarasovs,40340,Defender,86.35294117647058,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,Virsliga
E. Emsis,72582,Midfielder,74.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,Premier League
A. Zjuzins,68537,Midfielder,25.71428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,Virsliga
M. Ķigurs,70353,Midfielder,71.7,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Virsliga
J. Ikaunieks,68531,Midfielder,87.74074074074073,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,Virsliga
E. Stuglis,72360,Defender,77.52000000000001,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,Virsliga
M. Ošs,48546,Defender,81.75,0.125,0.08333333333333333,0.16666666666666666,0.0,1.7916666666666667,0.0,6.987847222222223,0.0,0.041666666666666664,0.0,0.16666666666666666,0.0,0.5833333333333334,0.375,0.0,0.0,0.20833333333333334,7.154223871527778,Super League
R. Savaļnieks,56041,Defender,82.05882352941177,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,Virsliga
P. Šteinbors,40302,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,Ekstraklasa
A. Černomordijs,56030,Defender,87.6829268292683,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,Virsliga
R. Jurkovskis,70397,Defender,87.5,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,Virsliga
A. Saveļjevs,30936,Midfielder,49.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serie C - Girone C
K. Kārkliņš,72424,Midfielder,86.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,Virsliga
D. Ikaunieks,2264,Attacker,53.82352941176471,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Virsliga
K. Dubra,56031,Defender,88.6875,0.0625,0.0,0.020833333333333332,0.0,3.1458333333333335,0.041666666666666664,9.25,0.0,0.020833333333333332,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.020833333333333332,0.0,0.0625,0.81875,Premier League
R. Ozols,56029,Goalkeeper,91.07142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Virsliga
R. Krollis,72561,Attacker,67.23076923076923,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,Virsliga
R. Uldriķis,48537,Attacker,55.0,1.1764705882352942,0.4411764705882353,0.23529411764705882,0.029411764705882353,11.882352941176471,0.5588235294117647,47.50966822715245,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.0,6.529411764705882,2.9705882352941178,0.6176470588235294,0.4117647058823529,0.14705882352941174,6.315991187844974,Super League
V. Gutkovskis,40813,Attacker,71.5,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,I Liga
A. Jaunzems,72421,Defender,45.77272727272727,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Virsliga
K. Tobers,68534,Midfielder,83.625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.0,Virsliga
A. Ciganiks,37044,Defender,75.70967741935485,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,Virsliga
