,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,751,home,Marvin Ducksch,FW,90,0,0,0,4,71,14,1,12,1,0,1,0,0,0,1,30,0,0,1,loss,0–4
1,751,home,Niclas Füllkrug,FW,90,0,0,1,4,109,26,1,15,1,0,1,0,0,0,0,30,8,0,0,loss,0–4
2,751,home,Anthony Jung,LW,78,0,0,1,0,105,17,0,13,2,0,0,0,2,0,0,29,1,0,0,loss,0–4
3,751,home,Leon Opitz,LW,12,0,0,1,0,19,4,0,1,0,0,2,0,0,0,0,7,0,0,0,loss,0–4
4,751,home,Mitchell Weiser,RW,58,0,0,1,2,62,12,1,8,0,0,3,0,1,0,1,29,1,0,0,loss,0–4
5,751,home,Oliver Burke,RW,32,0,0,2,0,18,6,0,6,0,0,0,0,0,0,1,13,0,0,0,loss,0–4
6,751,home,Leonardo Bittencourt,CM,67,0,0,0,4,103,15,1,13,0,0,2,0,1,0,0,23,1,0,0,loss,0–4
7,751,home,Romano Schmid,CM,23,0,0,0,1,13,7,1,4,1,0,0,0,0,0,0,11,0,0,0,loss,0–4
8,751,home,Jens Stage,CM,78,0,0,0,0,30,10,1,12,1,0,0,1,0,0,0,24,3,0,0,loss,0–4
9,751,home,Dawid Kownacki,CM,12,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,3,0,0,0,loss,0–4
10,751,home,Senne Lynen,DM,67,0,0,0,0,88,6,0,12,0,0,2,1,4,0,0,21,0,0,1,loss,0–4
11,751,home,Christian Groß,DM,23,0,0,1,1,22,3,0,5,0,0,1,0,1,0,0,8,0,0,0,loss,0–4
12,751,home,Marco Friedl,CB,90,0,0,0,2,332,25,0,25,3,0,2,1,3,0,0,50,0,0,0,loss,0–4
13,751,home,Miloš Veljković,CB,90,0,0,0,3,189,20,0,21,3,0,2,0,2,0,0,32,0,0,0,loss,0–4
14,751,home,Amos Pieper,CB,90,0,0,0,4,168,13,0,13,4,0,1,0,5,0,0,34,1,0,0,loss,0–4
15,751,home,Jiří Pavlenka,GK,90,0,0,0,0,593,12,10,29,0,0,6,0,0,4,0,39,0,0,0,loss,0–4
16,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
17,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
18,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
19,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
20,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
21,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
22,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
23,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
24,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
25,751,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–4
26,751,away,Harry Kane,FW,83,1,1,2,1,108,24,6,15,2,1,0,0,0,0,0,30,2,0,0,win,0–4
27,751,away,Mathys Tel,FW,7,1,0,1,0,6,10,2,7,0,1,0,0,1,0,1,11,0,0,0,win,0–4
28,751,away,Kingsley Coman,LW,83,0,0,7,4,74,54,2,42,0,1,0,0,1,0,1,60,1,0,0,win,0–4
29,751,away,Eric Maxim Choupo-Moting,LW,7,0,0,0,1,34,8,0,6,0,1,0,0,0,0,1,11,0,0,0,win,0–4
30,751,away,Leroy Sané,RW,90,2,0,3,3,102,43,3,33,0,1,0,0,0,0,2,53,0,0,0,win,0–4
31,751,away,Jamal Musiala,AM,83,0,0,6,3,82,32,3,20,0,0,1,0,2,0,7,42,1,0,0,win,0–4
32,751,away,Thomas Müller,AM,7,0,1,3,2,62,11,0,9,0,1,0,0,0,0,0,11,0,0,0,win,0–4
33,751,away,Leon Goretzka,DM,78,0,0,3,3,164,59,3,64,1,0,0,4,0,0,1,78,2,0,0,win,0–4
34,751,away,Konrad Laimer,DM,12,0,0,1,2,38,10,0,8,1,0,0,0,1,0,1,14,1,0,0,win,0–4
35,751,away,Joshua Kimmich,DM,90,0,0,2,11,477,90,2,104,0,0,0,1,0,0,0,121,0,0,0,win,0–4
36,751,away,Alphonso Davies,LB,90,0,2,10,6,248,62,0,69,0,2,0,0,1,0,5,90,2,0,0,win,0–4
37,751,away,Kim Min-jae,CB,67,0,0,0,4,744,57,1,68,1,0,0,0,0,0,0,75,1,0,1,win,0–4
38,751,away,Matthijs de Ligt,CB,23,0,0,0,0,134,12,1,14,0,0,0,1,0,0,0,17,2,0,0,win,0–4
39,751,away,Dayot Upamecano,CB,90,0,0,0,5,583,71,0,76,4,0,0,0,0,0,0,83,3,0,0,win,0–4
40,751,away,Noussair Mazraoui,RB,90,0,0,8,7,341,57,2,65,0,0,1,0,1,0,1,79,2,0,0,win,0–4
41,751,away,Sven Ulreich,GK,90,0,0,0,0,452,22,1,29,0,0,1,0,0,0,0,36,0,0,0,win,0–4
42,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
43,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
44,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
45,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
46,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
47,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
48,751,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–4
