match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,home,D. Nepogodov,G,90,0,0,0,0,11,0,37%,2,0,0,0,0,1,1,0,0,0,won,3-0,7.5,56073.0,Kazakhstan,2020
0,home,T. Erlanov,D,81,1,0,0,0,22,0,71%,0,0,0,2,0,6,2,0,0,0,won,3-0,6.6,56077.0,Kazakhstan,2020
0,home,Evgeny Postnikov,D,90,0,0,0,0,27,0,93%,0,2,0,1,0,6,2,0,0,0,won,3-0,7.1,2229.0,Kazakhstan,2020
0,home,S. Maliy,D,90,0,0,0,0,33,0,80%,0,0,0,4,0,13,7,0,0,0,won,3-0,7.0,56078.0,Kazakhstan,2020
0,home,Y. Vorogovskiy,M,90,1,1,1,0,21,1,80%,0,2,0,0,0,10,5,3,2,0,won,3-0,7.2,56084.0,Kazakhstan,2020
0,home,Y. Pertsukh,M,90,1,1,1,0,35,2,87%,0,0,0,0,0,12,4,1,1,0,won,3-0,7.3,2236.0,Kazakhstan,2020
0,home,I. Kuat,M,90,2,1,0,1,20,1,69%,0,1,0,3,0,6,4,0,0,0,won,3-0,7.6,56083.0,Kazakhstan,2020
0,home,A. Merkel,M,90,0,0,0,1,41,2,83%,0,2,0,2,0,12,5,0,0,1,won,3-0,7.1,37265.0,Kazakhstan,2020
0,home,G. Suyumbayev,D,90,1,0,0,1,30,2,61%,0,5,1,5,0,13,8,1,0,1,won,3-0,7.9,56079.0,Kazakhstan,2020
0,home,B. Zaynutdinov,F,84,1,1,1,0,17,0,70%,0,0,0,0,0,20,4,3,3,0,won,3-0,7.0,53533.0,Kazakhstan,2020
0,home,R. Murtazayev,F,68,2,1,0,0,19,0,63%,0,0,0,0,0,24,7,3,1,0,won,3-0,6.4,2246.0,Kazakhstan,2020
0,home,E. Akhmetov,D,9,0,0,0,0,2,0,28%,0,0,0,0,0,0,0,0,0,0,won,3-0,6.5,56076.0,Kazakhstan,2020
0,home,S. Muzhikov,M,12,1,1,0,0,0,0,0%,0,0,0,0,0,3,1,0,0,0,won,3-0,6.6,2235.0,Kazakhstan,2020
0,home,B. Turysbek,F,22,0,0,0,0,6,0,75%,0,0,0,0,0,7,2,0,0,0,won,3-0,6.4,56088.0,Kazakhstan,2020
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-0,0,,Kazakhstan,2020
