Team1,Team2,Date,Odd team1,Odd draw,Odd team2,Winner,Overtime/Penalty
Germany,Scotland,14 Jun 2024,1.30,5.46,9.94,Germany,
Hungary,Switzerland,15 Jun 2024,3.88,3.06,2.14,Switzerland,
Spain,Croatia,15 Jun 2024,1.91,3.36,4.28,Spain,
Italy,Albania,15 Jun 2024,1.35,4.63,10.00,Italy,
Poland,Netherlands,16 Jun 2024,6.64,4.26,1.50,Netherlands,
Slovenia,Denmark,16 Jun 2024,5.72,3.58,1.66,Draw,
Serbia,England,16 Jun 2024,6.67,4.25,1.50,England,
Romania,Ukraine,16 Jun 2024,4.60,3.47,1.82,Romania,
Belgium,Slovakia,17 Jun 2024,1.50,4.25,6.63,Slovakia,
Austria,France,17 Jun 2024,5.94,4.13,1.55,France,
Turkey,Georgia,18 Jun 2024,1.62,3.91,5.56,Turkey,
Portugal,Czech Republic,18 Jun 2024,1.49,4.31,6.55,Portugal,
Croatia,Albania,19 Jun 2024,1.45,4.29,7.84,Draw,
Germany,Hungary,19 Jun 2024,1.25,6.21,11.13,Germany,
Scotland,Switzerland,19 Jun 2024,4.45,3.31,1.90,Draw,
Slovenia,Serbia,20 Jun 2024,5.51,3.71,1.66,Draw,
Denmark,England,20 Jun 2024,5.25,3.41,1.75,Draw,
Spain,Italy,20 Jun 2024,2.20,3.10,3.73,Spain,
Slovakia,Ukraine,21 Jun 2024,3.31,3.23,2.26,Ukraine,
Poland,Austria,21 Jun 2024,3.91,3.30,2.02,Austria,
Netherlands,France,21 Jun 2024,3.06,3.09,2.49,Draw,
Georgia,Czech Republic,22 Jun 2024,4.45,3.89,1.76,Draw,
Turkey,Portugal,22 Jun 2024,5.96,4.04,1.58,Portugal,
Belgium,Romania,22 Jun 2024,1.36,5.00,8.23,Belgium,
Switzerland,Germany,23 Jun 2024,6.26,3.89,1.58,Draw,
Scotland,Hungary,23 Jun 2024,2.32,3.86,2.75,Hungary,
Croatia,Italy,24 Jun 2024,2.99,3.05,2.57,Draw,
Albania,Spain,24 Jun 2024,8.03,4.71,1.39,Spain,
Netherlands,Austria,24 Jun 2024,1.79,3.53,4.78,Austria,
France,Poland,25 Jun 2024,1.29,5.57,10.50,Draw,
England,Slovenia,25 Jun 2024,1.31,5.06,10.81,Draw,
Denmark,Serbia,25 Jun 2024,2.30,3.19,3.29,Draw,
Ukraine,Belgium,26 Jun 2024,5.65,4.03,1.60,Draw,
Slovakia,Romania,26 Jun 2024,2.94,2.10,4.23,Draw,
Georgia,Portugal,26 Jun 2024,9.13,4.97,1.35,Georgia,
Czech Republic,Turkey,26 Jun 2024,2.50,3.25,2.89,Turkey,
Switzerland,Italy,29 Jun 2024,3.29,2.84,2.56,Switzerland,
Germany,Denmark,29 Jun 2024,1.62,3.85,5.79,Germany,
England,Slovakia,30 Jun 2024,1.44,4.10,8.66,England,ET
Spain,Georgia,30 Jun 2024,1.20,6.61,14.88,Spain,
France,Belgium,01 Jul 2024,2.04,3.29,3.95,France,
Portugal,Slovenia,01 Jul 2024,1.35,4.90,9.32,Portugal,PEN
Romania,Netherlands,02 Jul 2024,8.00,4.51,1.41,Netherlands,
Austria,Turkey,02 Jul 2024,1.98,3.30,4.05,Turkey,
Spain,Germany,05 Jul 2024,2.65,3.19,2.80,Spain,ET
Portugal,France,05 Jul 2024,3.28,2.94,2.45,France,PEN
England,Switzerland,06 Jul 2024,2.23,2.87,3.93,England,PEN
Netherlands,Turkey,06 Jul 2024,1.60,3.94,5.85,Netherlands,
Spain,France,09 Jul 2024,2.67,2.86,3.06,Spain,
Netherlands,England,10 Jul 2024,3.19,2.79,2.67,England,
Spain,England,14 Jul 2024,2.42,2.82,3.64,Spain,
