match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,home,H. Lloris,G,90,0,0,0,0,25,0,16,1,0,0,0,3,0,0,0,0,0,won,4-3,5.9,159.0,France,2018
0,home,B. Pavard,D,90,1,1,1,0,23,0,22,0,3,1,0,0,9,5,0,0,1,won,4-3,7,2725.0,France,2018
0,home,R. Varane,D,90,0,0,0,0,36,0,33,0,0,2,0,0,1,1,1,1,0,won,4-3,6.7,742.0,France,2018
0,home,S. Umtiti,D,90,0,0,0,0,44,0,40,0,1,0,2,0,5,4,1,1,0,won,4-3,6.5,139.0,France,2018
0,home,L. Hernández,D,90,0,0,0,1,15,2,11,0,5,0,1,0,15,7,2,0,0,won,4-3,6.2,33.0,France,2018
0,home,P. Pogba,M,90,1,0,0,0,44,1,35,0,2,0,2,0,17,9,2,2,0,won,4-3,7,904.0,France,2018
0,home,N. Kanté,M,90,0,0,0,0,54,0,48,0,3,1,3,0,12,8,2,2,0,won,4-3,7.2,2290.0,France,2018
0,home,K. Mbappé,M,89,2,2,2,0,25,0,17,0,1,0,2,0,16,12,10,7,0,won,4-3,9.2,278.0,France,2018
0,home,A. Griezmann,M,83,3,1,1,0,21,0,16,0,1,0,0,0,10,4,1,1,0,won,4-3,6.9,56.0,France,2018
0,home,B. Matuidi,M,75,0,0,0,0,25,0,22,0,2,0,2,0,10,2,1,0,1,won,4-3,6.3,869.0,France,2018
0,home,O. Giroud,F,90,1,0,0,1,17,1,11,0,1,0,0,0,15,2,0,0,1,won,4-3,7,2295.0,France,2018
0,home,C. Tolisso,M,15,0,0,0,0,10,0,6,0,1,0,0,0,5,2,0,0,0,won,4-3,6.2,519.0,France,2018
0,home,F. Thauvin,M,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,won,4-3,0,1922.0,France,2018
0,home,N. Fekir,F,7,0,0,0,0,4,0,2,0,0,0,0,0,2,1,0,0,0,won,4-3,6.3,668.0,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0,,France,2018
0,away,F. Armani,G,90,0,0,0,0,27,0,21,0,0,0,0,4,0,0,0,0,0,lost,4-3,4.9,2463.0,Argentina,2018
0,away,G. Mercado,D,90,1,1,1,0,78,0,72,0,1,0,0,0,11,6,0,0,0,lost,4-3,6.9,2044.0,Argentina,2018
0,away,N. Otamendi,D,90,0,0,0,0,77,0,68,0,4,0,2,0,14,10,0,0,1,lost,4-3,6.6,624.0,Argentina,2018
0,away,M. Rojo,D,45,0,0,0,0,25,0,25,0,0,0,1,0,2,0,0,0,1,lost,4-3,5.9,890.0,Argentina,2018
0,away,N. Tagliafico,D,90,0,0,0,0,25,0,21,0,1,0,0,0,5,2,0,0,1,lost,4-3,5.7,529.0,Argentina,2018
0,away,E. Pérez,M,66,0,0,0,0,37,0,35,0,0,0,1,0,6,2,1,1,0,lost,4-3,6.5,6003.0,Argentina,2018
0,away,J. Mascherano,M,90,0,0,0,0,59,1,50,0,3,0,1,0,12,6,3,2,1,lost,4-3,6.6,13073.0,Argentina,2018
