match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,home,I. Akinfeev,G,90,0,0,0,0,23,0,13,0,0,0,0,0,0,0,0,0,0,won,5-0,6.9,821.0,Russia,2018
0,home,Mário Fernandes,D,90,0,0,0,0,28,1,23,0,2,0,2,0,12,9,0,0,0,won,5-0,7.5,827.0,Russia,2018
0,home,I. Kutepov,D,90,0,0,0,0,37,0,26,0,0,2,2,0,4,3,0,0,0,won,5-0,7.2,1776.0,Russia,2018
0,home,Sergei Ignashevich,D,90,0,0,0,0,38,0,28,0,3,1,1,0,13,11,0,0,0,won,5-0,7.7,104575.0,Russia,2018
0,home,Y. Zhirkov,D,90,0,0,0,0,35,0,25,0,4,0,0,0,16,13,1,1,0,won,5-0,7.7,1220.0,Russia,2018
0,home,Y. Gazinskiy,M,90,1,1,1,0,31,0,26,0,1,0,1,0,8,5,1,1,0,won,5-0,7.7,2081.0,Russia,2018
0,home,R. Zobnin,M,90,2,1,0,1,31,2,18,0,6,0,2,0,18,12,1,0,0,won,5-0,7.6,1792.0,Russia,2018
0,home,Aleksandr Samedov,M,64,1,0,0,0,19,1,15,0,2,0,0,0,14,6,2,2,0,won,5-0,6.9,53687.0,Russia,2018
0,home,A. Dzagoev,M,24,0,0,0,0,9,0,8,0,0,0,0,0,4,3,1,1,0,won,5-0,6.7,835.0,Russia,2018
0,home,A. Golovin,M,90,1,1,1,2,35,5,25,0,4,0,2,0,20,7,1,1,1,won,5-0,8.6,109.0,Russia,2018
0,home,F. Smolov,F,70,0,0,0,0,21,2,13,0,0,0,0,0,17,3,3,2,0,won,5-0,6.3,493.0,Russia,2018
0,home,D. Kuzyaev,M,26,1,0,0,0,11,0,10,0,0,0,1,0,5,2,1,1,0,won,5-0,6.7,1212.0,Russia,2018
0,home,D. Cheryshev,M,66,3,3,2,0,19,0,14,0,2,0,0,0,13,7,3,3,0,won,5-0,8.7,923.0,Russia,2018
0,home,A. Dzyuba,F,20,1,1,1,1,8,1,7,0,0,0,0,0,3,1,0,0,0,won,5-0,7.9,1223.0,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-0,0,,Russia,2018
0,away,Abdullah Al Muaiouf,G,90,0,0,0,0,34,0,14,2,1,0,0,5,1,1,0,0,0,lost,5-0,5.2,44327.0,Saudi Arabia,2018
0,away,Mohammed Al Burayk,D,90,0,0,0,0,69,0,58,0,3,0,0,0,20,11,1,1,0,lost,5-0,6.5,44329.0,Saudi Arabia,2018
0,away,Osama Hawsawi,D,90,0,0,0,0,64,0,52,0,4,0,1,0,11,8,0,0,0,lost,5-0,6.5,104219.0,Saudi Arabia,2018
0,away,Omar Hawsawi,D,90,0,0,0,0,56,0,43,0,1,0,1,0,7,5,1,1,0,lost,5-0,6.2,44302.0,Saudi Arabia,2018
0,away,Yasir Al Shahrani,D,90,1,0,0,0,61,0,43,0,4,0,1,0,23,12,3,3,0,lost,5-0,6.5,44331.0,Saudi Arabia,2018
0,away,Abdullah Otayf,M,64,0,0,0,0,56,0,49,0,1,0,1,0,9,5,0,0,0,lost,5-0,6.5,44350.0,Saudi Arabia,2018
0,away,Yahia Al Shehri,M,74,0,0,0,0,36,0,31,0,0,0,2,0,10,0,4,0,0,lost,5-0,5.7,44313.0,Saudi Arabia,2018
0,away,Taisir Al Jassim,M,90,0,0,0,0,37,1,32,0,1,0,1,0,14,4,3,1,1,lost,5-0,5.6,44427.0,Saudi Arabia,2018
0,away,Salman Al Faraj,M,90,0,0,0,0,80,2,73,0,2,0,0,0,7,4,2,0,0,lost,5-0,6.6,44341.0,Saudi Arabia,2018
0,away,Salem Al Dawsari,M,90,2,0,0,0,44,1,40,0,4,0,1,0,19,8,4,1,0,lost,5-0,6.3,44340.0,Saudi Arabia,2018
0,away,Mohammad Al-Sahlawi,F,85,0,0,0,0,13,0,10,0,1,0,0,0,16,5,0,0,0,lost,5-0,6.5,44321.0,Saudi Arabia,2018
0,away,Fahad Al Muwallad,F,26,0,0,0,0,2,0,2,0,1,0,0,0,4,1,2,0,0,lost,5-0,6.3,44617.0,Saudi Arabia,2018
0,away,Hatan Bahbri,M,16,0,0,0,0,4,0,3,0,1,0,0,0,3,1,0,0,0,lost,5-0,6.3,44347.0,Saudi Arabia,2018
0,away,Mohanad Aseri Abu Radiah,F,5,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,lost,5-0,6.5,44445.0,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-0,0,,Saudi Arabia,2018
1,home,Mohamed El Shenawy,G,90,0,0,0,0,22,0,6,4,0,0,0,1,1,1,0,0,0,lost,0-1,6.9,16797.0,Egypt,2018
1,home,Ahmed Fathy,D,90,1,1,0,0,36,1,30,0,7,0,3,0,12,8,1,1,0,lost,0-1,7.2,16803.0,Egypt,2018
1,home,Ali Gabr,D,90,0,0,0,0,21,0,14,0,0,1,2,0,1,1,0,0,0,lost,0-1,6.6,2653.0,Egypt,2018
1,home,Ahmed Hegazy,D,90,0,0,0,0,43,0,28,0,0,1,5,0,7,3,0,0,1,lost,0-1,6.7,19149.0,Egypt,2018
1,home,Mohamed Abdul Shafy,D,90,0,0,0,0,51,0,37,0,2,0,2,0,5,3,1,1,0,lost,0-1,6.9,44424.0,Egypt,2018
1,home,Mohamed Elneny,M,90,1,0,0,0,49,1,43,0,1,0,1,0,5,1,0,0,0,lost,0-1,6.7,1452.0,Egypt,2018
1,home,Tarek Hamed,M,50,0,0,0,0,31,0,26,0,2,0,1,0,7,4,0,0,0,lost,0-1,6.9,2663.0,Egypt,2018
1,home,Amr Warda,M,82,0,0,0,0,27,2,16,0,1,0,1,0,12,7,2,2,0,lost,0-1,7,2667.0,Egypt,2018
1,home,Abdalla El Said,M,90,1,0,0,0,55,0,40,0,3,0,1,0,15,5,0,0,0,lost,0-1,6.7,16838.0,Egypt,2018
1,home,Trézéguet,M,90,2,1,0,0,38,0,32,0,4,1,3,0,16,5,3,0,0,lost,0-1,6.2,2664.0,Egypt,2018
1,home,Marwan Mohsen,F,63,1,1,0,0,13,0,8,0,0,0,0,0,14,3,0,0,0,lost,0-1,6.5,16828.0,Egypt,2018
1,home,Kahraba,M,27,0,0,0,0,11,0,7,0,0,0,0,0,9,1,2,0,0,lost,0-1,5.9,16861.0,Egypt,2018
1,home,Ramadan Sobhi,M,8,0,0,0,0,4,0,3,0,1,0,0,0,2,1,0,0,0,lost,0-1,6.3,16821.0,Egypt,2018
1,home,Sam Morsy,M,40,0,0,0,0,23,0,23,0,2,0,3,0,6,2,1,0,1,lost,0-1,6.7,19558.0,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-1,0,,Egypt,2018
