,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,380,home,Luis Javier Suárez,FW,90,0,0,2,1,13,19,4,9,0,0,0,0,2,0,0,27,0,0,0,loss,0–2
1,380,home,Adri Embarba,LW,90,0,0,4,1,118,37,3,30,0,0,2,0,1,0,2,58,1,0,0,loss,0–2
2,380,home,Lázaro,RW,45,0,0,0,0,8,9,1,7,0,0,0,0,0,0,0,16,0,0,0,loss,0–2
3,380,home,Sergio Arribas,FW,45,0,0,1,6,78,21,3,21,0,0,1,1,0,0,1,34,0,0,0,loss,0–2
4,380,home,Largie Ramazani,AM,82,0,0,2,2,107,26,2,15,0,0,1,1,0,0,2,33,0,0,1,loss,0–2
5,380,home,Marko Milovanović,RM,8,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,2,0,0,0,loss,0–2
6,380,home,Iddrisu Baba,DM,76,0,0,0,5,216,28,2,33,0,0,1,1,1,0,0,42,2,0,0,loss,0–2
7,380,home,Gonzalo Melero,CM,14,0,0,1,0,41,11,0,9,0,0,0,0,1,0,1,15,0,0,0,loss,0–2
8,380,home,Lucas Robertone,DM,77,0,0,0,5,343,43,1,48,1,0,1,1,0,0,0,67,2,0,0,loss,0–2
9,380,home,Dion Lopy,CM,13,0,0,0,0,48,12,1,12,0,0,0,0,0,0,0,14,0,0,0,loss,0–2
10,380,home,Sergio Akieme,LB,90,0,0,6,4,181,36,1,39,2,0,3,0,1,0,6,63,1,0,0,loss,0–2
11,380,home,Srđan Babić,CB,90,0,0,1,6,388,49,1,58,2,0,2,0,1,0,0,69,3,0,0,loss,0–2
12,380,home,Édgar González,CB,90,0,0,0,6,666,78,0,88,3,0,1,0,1,0,0,99,1,0,0,loss,0–2
13,380,home,Alejandro Pozo Pozo,RB,65,0,0,1,3,198,30,0,35,4,0,0,0,1,0,0,51,1,0,0,loss,0–2
14,380,home,Pubill,RB,25,0,0,0,0,88,19,0,20,1,0,0,0,0,0,0,28,0,0,0,loss,0–2
