,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,1429,home,Terem Moffi,FW,80,0,1,1,2,44,16,1,11,1,1,0,0,0,0,1,24,1,0,0,draw,1–1
1,1429,home,Hicham Boudaoui,FW,10,0,0,1,1,45,8,1,8,0,0,0,0,0,0,0,12,0,0,0,draw,1–1
2,1429,home,Jeremie Boga,LW,56,0,0,2,0,8,18,0,13,0,0,1,0,0,0,2,22,0,0,0,draw,1–1
3,1429,home,Sofiane Diop,LW,34,0,0,1,0,59,12,0,10,1,0,1,0,0,0,1,19,0,0,0,draw,1–1
4,1429,home,Gaëtan Laborde,RW,57,1,0,4,1,42,14,2,9,0,0,0,0,0,0,3,21,0,0,1,draw,1–1
5,1429,home,Evann Guessand,RW,33,0,0,3,2,28,10,0,6,0,0,0,0,0,0,1,13,1,0,0,draw,1–1
6,1429,home,Khéphren Thuram,LM,56,0,0,3,2,36,17,0,15,0,1,3,1,1,0,3,29,0,0,1,draw,1–1
7,1429,home,Pablo Rosario,LM,34,0,0,0,1,41,16,1,11,0,0,1,0,0,0,0,19,1,0,0,draw,1–1
8,1429,home,Youssouf Ndayishimiye,CM,90,0,0,0,1,89,22,0,26,4,0,1,1,1,0,0,37,2,0,0,draw,1–1
9,1429,home,Morgan Sanson,RM,90,0,0,4,3,139,23,2,22,0,0,0,2,0,0,4,36,0,0,0,draw,1–1
10,1429,home,Melvin Bard,LB,90,0,0,1,0,371,46,0,50,2,0,1,3,0,0,1,74,1,0,0,draw,1–1
11,1429,home,Dante,CB,90,0,0,0,1,342,36,1,42,3,0,1,0,4,0,2,54,1,0,0,draw,1–1
12,1429,home,Jean-Clair Todibo,CB,90,0,0,0,0,283,40,0,46,4,0,1,0,2,0,2,62,0,0,0,draw,1–1
13,1429,home,Youcef Atal,RB,45,0,0,0,0,34,11,0,12,1,0,0,0,0,0,1,18,1,0,1,draw,1–1
14,1429,home,Jordan Lotomba,RB,45,0,0,1,2,162,17,0,16,2,0,2,0,0,0,2,25,0,0,0,draw,1–1
15,1429,home,Marcin Bułka,GK,90,0,0,0,0,805,36,5,50,1,0,4,0,0,1,0,60,0,0,0,draw,1–1
16,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
17,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
18,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
19,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
20,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
21,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
22,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
23,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
24,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
25,1429,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1–1
26,1429,away,Jonathan David,FW,90,0,0,1,2,37,20,2,14,0,0,0,0,0,0,1,23,0,0,0,draw,1–1
27,1429,away,Hákon Arnar Haraldsson,LW,79,0,0,1,3,97,27,0,24,1,0,0,0,0,0,3,33,0,0,1,draw,1–1
28,1429,away,Yusuf Yazıcı,AM,11,0,0,1,1,13,7,0,6,0,0,0,0,0,0,0,7,0,0,0,draw,1–1
29,1429,away,Alan Virginius,RW,66,0,0,1,1,19,15,0,10,0,0,0,0,0,0,2,16,0,0,0,draw,1–1
30,1429,away,Edon Zhegrova,RW,24,0,0,0,1,39,9,2,9,0,0,0,0,0,0,0,13,0,0,0,draw,1–1
31,1429,away,Rémy Cabella,AM,80,0,0,4,4,179,35,2,34,0,0,3,0,1,0,2,56,0,0,0,draw,1–1
32,1429,away,Gabriel Gudmundsson,LW,10,0,0,0,0,7,9,1,4,0,0,0,0,0,0,0,11,0,0,0,draw,1–1
33,1429,away,Benjamin André,DM,90,0,0,1,5,230,57,1,59,0,0,3,2,1,0,0,83,1,0,0,draw,1–1
34,1429,away,Carlos Baleba,DM,60,0,0,1,3,93,40,2,37,0,0,1,2,0,0,0,53,0,0,0,draw,1–1
35,1429,away,Angel Gomes,DM,30,0,1,0,2,119,25,0,26,0,1,1,0,0,0,0,29,0,0,0,draw,1–1
36,1429,away,Ismaily,LB,90,0,0,5,2,126,41,0,41,2,0,2,1,1,0,0,64,2,0,0,draw,1–1
37,1429,away,Alexsandro Ribeiro,CB,90,0,0,0,4,415,67,0,74,2,0,1,0,1,0,0,85,2,0,0,draw,1–1
38,1429,away,Bafodé Diakité,CB,90,1,0,2,4,682,96,1,111,1,0,1,1,1,0,1,122,1,0,0,draw,1–1
39,1429,away,Tiago santos,RB,90,0,0,9,2,163,45,1,48,1,0,4,2,0,0,5,72,0,0,1,draw,1–1
40,1429,away,Lucas Chevalier,GK,90,0,0,0,0,527,35,3,42,0,0,2,0,0,1,0,53,0,0,0,draw,1–1
