match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
0,home,Rui Patrício,G,90,0,0,0,0,14,0,56%,2,0,0,0,1,1,1,0,0,0,won,3-1,6.3
0,home,Nélson Semedo,D,90,0,0,0,0,35,0,89%,0,2,1,0,0,13,7,1,1,0,won,3-1,6.7
0,home,Pepe,D,63,1,0,0,0,28,0,84%,0,1,0,1,0,9,7,2,1,0,won,3-1,6.9
0,home,Rúben Dias,D,90,1,0,0,0,43,0,86%,0,0,1,0,0,4,4,0,0,0,won,3-1,6.9
0,home,Raphaël Guerreiro,D,90,0,0,0,0,47,0,92%,0,0,0,2,0,4,2,1,0,0,won,3-1,6.6
0,home,Bruno Fernandes,M,89,1,0,0,0,37,3,82%,0,0,1,0,0,8,2,2,1,0,won,3-1,7.3
0,home,Rúben Neves,M,90,1,0,0,0,42,0,84%,0,2,0,1,0,3,2,0,0,0,won,3-1,6.9
0,home,William Carvalho,M,90,0,0,0,0,50,0,89%,0,0,0,0,0,7,1,3,1,0,won,3-1,6.3
0,home,Bernardo Silva,M,90,0,0,0,1,32,4,84%,0,3,0,1,0,20,11,8,4,0,won,3-1,7.3
0,home,Cristiano Ronaldo,F,90,5,3,3,0,29,1,90%,0,0,0,0,0,10,5,3,3,0,won,3-1,10
0,home,João Félix,F,70,1,0,0,0,6,0,66%,0,0,0,0,0,7,2,1,0,0,won,3-1,6.2
0,home,José Fonte,D,27,0,0,0,0,16,0,94%,0,0,0,0,0,1,1,0,0,0,won,3-1,6.7
0,home,João Moutinho,M,1,0,0,0,0,3,0,100%,0,0,0,0,0,1,1,0,0,0,won,3-1,–
0,home,Gonçalo Guedes,M,20,0,0,0,1,14,1,93%,0,0,0,0,0,5,4,1,1,0,won,3-1,7.0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0
0,away,Yann Sommer,G,90,0,0,0,0,28,0,87%,0,0,0,0,3,0,0,0,0,0,lost,3-1,5.3
