,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,0,home,Zeki Amdouni,FW,60,0,0,1,0,48,15,1,10,1,0,1,0,0,0,2,23,1,0,0,loss,0–3
1,0,home,Anass Zaroury,FW,29,0,0,0,0,52,7,1,10,0,0,0,0,0,0,0,13,0,0,1,loss,0–3
2,0,home,Lyle Foster,LM,89,0,0,2,2,43,18,2,14,2,0,1,0,2,0,1,37,2,0,0,loss,0–3
3,0,home,Nathan Redmond,LM,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,loss,0–3
4,0,home,Josh Cullen,CM,90,0,0,0,2,112,30,0,37,0,0,0,0,1,0,0,46,0,0,0,loss,0–3
5,0,home,Sander Berge,CM,89,0,0,0,1,57,24,0,23,0,0,0,0,1,0,0,33,2,0,0,loss,0–3
6,0,home,Josh Brownhill,CM,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,loss,0–3
7,0,home,Luca Koleosho,RM,60,0,0,1,0,8,16,1,8,0,0,0,0,0,0,0,23,0,0,0,loss,0–3
8,0,home,Jacob Bruun Larsen,RM,30,0,0,3,2,21,6,1,4,1,0,0,0,0,0,0,9,2,0,0,loss,0–3
9,0,home,Vitinho,LB,90,0,0,1,0,40,17,0,20,1,0,0,1,2,0,0,31,0,0,0,loss,0–3
10,0,home,Jordan Beyer,CB,73,0,0,0,0,186,31,0,28,4,0,4,4,2,0,0,49,1,0,0,loss,0–3
11,0,home,Benson Manuel,FW,17,0,0,1,0,10,8,0,4,0,0,0,0,0,0,0,9,0,0,0,loss,0–3
12,0,home,Dara O'Shea,CB,90,0,0,0,3,307,42,0,42,1,0,0,1,2,0,0,62,2,0,0,loss,0–3
13,0,home,Ameen Al-Dakhil,CB,90,0,0,1,3,258,30,0,32,4,0,1,1,2,0,0,51,2,0,0,loss,0–3
14,0,home,Connor Roberts,RB,90,0,0,0,4,215,33,0,39,1,0,1,0,0,0,0,51,1,0,0,loss,0–3
15,0,home,James Trafford,GK,90,0,0,0,1,553,32,8,39,1,0,5,0,0,3,0,55,0,0,0,loss,0–3
16,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
17,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
18,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
19,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
20,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
21,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
22,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
23,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
24,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
25,0,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–3
26,0,away,Erling Haaland,FW,79,2,0,1,1,24,16,4,9,1,0,0,0,0,0,0,18,1,0,0,win,0–3
27,0,away,Cole Palmer,LM,11,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,0,0,win,0–3
28,0,away,Phil Foden,RM,90,0,0,1,5,102,47,3,37,0,0,0,1,1,0,1,58,0,0,0,win,0–3
29,0,away,Bernardo Silva,CM,90,0,0,2,3,149,59,0,61,0,0,0,0,0,1,0,75,0,0,0,win,0–3
30,0,away,Julián Álvarez,LM,90,0,1,2,2,113,40,3,36,0,1,1,0,1,0,0,53,1,0,0,win,0–3
31,0,away,Rodri,DM,90,1,1,1,4,463,97,4,107,0,1,3,0,0,1,0,122,1,0,0,win,0–3
32,0,away,Kevin De Bruyne,DM,22,0,0,0,1,74,8,1,6,0,1,0,0,0,0,0,12,0,0,0,win,0–3
33,0,away,Mateo Kovačić,CM,68,0,0,1,4,167,63,0,61,0,0,2,0,3,0,1,72,0,0,0,win,0–3
34,0,away,Rico Lewis,LB,78,0,0,1,3,65,28,0,36,0,0,0,1,0,0,1,47,0,0,0,win,0–3
35,0,away,Joško Gvardiol,LB,12,0,0,0,0,16,4,0,5,1,0,2,0,0,0,0,13,2,0,0,win,0–3
36,0,away,Nathan Aké,CB,78,0,0,1,1,222,61,1,65,1,1,3,2,0,0,0,79,3,0,0,win,0–3
37,0,away,Aymeric Laporte,CB,12,0,0,0,0,48,10,1,11,1,0,0,0,1,0,0,14,0,0,0,win,0–3
38,0,away,Manuel Akanji,CB,90,0,0,1,2,382,90,0,89,2,0,1,0,2,0,0,109,4,0,0,win,0–3
39,0,away,Kyle Walker,RB,89,0,0,1,2,179,55,0,66,1,1,0,0,0,0,0,81,1,0,0,win,0–3
40,0,away,James Mcatee,DM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,win,0–3
41,0,away,Ederson,GK,90,0,0,0,0,1190,48,1,62,0,0,1,0,0,0,0,75,0,0,0,win,0–3
42,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
43,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
44,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
45,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
46,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
47,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
48,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
49,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
50,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
51,0,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–3
52,1,home,Eddie Nketiah,FW,73,1,0,0,0,5,18,3,16,0,0,1,0,1,0,0,26,2,0,0,win,2–1
53,1,home,Leandro Trossard,LM,17,0,0,1,1,22,5,0,7,0,0,1,0,1,0,1,12,0,0,0,win,2–1
54,1,home,Gabriel Martinelli,LW,85,0,1,3,3,124,32,0,31,0,1,1,0,1,0,2,47,1,0,0,win,2–1
55,1,home,Gabriel Magalhães,CB,5,0,0,0,0,6,2,0,2,1,0,0,0,0,0,0,4,0,0,0,win,2–1
56,1,home,Bukayo Saka,RW,90,1,0,11,3,133,67,3,49,0,0,4,0,1,0,0,81,0,0,0,win,2–1
57,1,home,Kai Havertz,LM,90,0,0,3,4,114,58,2,47,1,0,1,1,1,0,0,65,3,0,0,win,2–1
58,1,home,Declan Rice,CM,90,0,0,1,3,279,87,3,84,0,0,4,1,0,0,0,103,1,0,0,win,2–1
59,1,home,Martin Ødegaard,RM,90,0,0,8,9,137,62,3,55,1,0,1,0,0,0,0,80,0,0,0,win,2–1
60,1,home,Jurriën Timber,LB,49,0,0,0,7,152,39,0,44,1,0,1,0,0,0,0,51,1,0,1,win,2–1
61,1,home,Takehiro Tomiyasu,LB,41,0,0,0,3,131,38,1,37,3,0,0,1,0,0,0,48,2,0,0,win,2–1
62,1,home,William Saliba,CB,90,0,1,0,7,834,112,0,127,1,1,0,0,0,0,0,132,1,0,0,win,2–1
63,1,home,Ben White,CB,90,0,0,2,7,464,92,0,94,0,0,0,2,0,0,0,110,1,0,1,win,2–1
64,1,home,Thomas Partey,RB,90,0,0,5,11,429,83,0,100,0,2,1,2,1,0,1,113,0,0,0,win,2–1
65,1,home,Aaron Ramsdale,GK,90,0,0,0,0,374,17,2,23,1,0,1,0,0,1,0,30,0,0,0,win,2–1
66,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
67,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
68,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
69,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
70,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
71,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
72,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
73,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
74,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
75,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
76,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
77,1,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–1
78,1,away,Brennan Johnson,FW,79,0,0,1,0,17,10,1,6,0,0,0,0,2,0,0,15,0,0,0,loss,2–1
79,1,away,Anthony Elanga,RW,11,0,1,1,1,23,4,0,2,0,1,0,0,0,0,0,4,0,0,0,loss,2–1
80,1,away,Morgan Gibbs-White,LW,90,0,0,2,2,121,19,1,12,1,0,1,1,0,0,3,34,2,0,0,loss,2–1
81,1,away,Danilo,RW,70,0,0,2,3,62,11,0,11,1,0,1,0,1,0,2,26,1,0,0,loss,2–1
82,1,away,Taiwo Awoniyi,FW,20,1,0,0,0,19,6,1,3,0,1,0,0,0,0,0,10,1,0,0,loss,2–1
83,1,away,Ola Aina,LM,71,0,0,1,0,172,9,1,9,4,0,3,0,0,0,1,23,1,0,1,loss,2–1
84,1,away,Neco Williams,LM,19,0,0,1,1,43,2,0,3,0,0,0,2,1,0,1,7,0,0,0,loss,2–1
85,1,away,Orel Mangala,CM,89,0,0,0,1,68,11,0,10,0,0,0,1,1,0,0,21,0,0,1,loss,2–1
86,1,away,Cheikhou Kouyaté,CM,1,0,0,0,1,21,1,1,3,0,0,0,0,1,0,0,5,0,0,0,loss,2–1
87,1,away,Ryan Yates,CM,90,0,0,3,2,163,15,0,21,0,0,0,0,2,0,0,38,2,0,0,loss,2–1
88,1,away,Serge Aurier,RM,90,0,0,0,1,47,14,0,6,1,0,2,1,0,0,0,20,2,0,0,loss,2–1
89,1,away,Scott McKenna,CB,90,0,0,0,0,121,10,0,13,4,0,0,2,0,0,0,32,3,0,0,loss,2–1
90,1,away,Joe Worrall,CB,89,0,0,0,0,97,12,0,10,5,0,1,1,1,0,0,24,4,0,0,loss,2–1
91,1,away,Chris Wood,FW,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,loss,2–1
92,1,away,Willy Boly,CB,90,0,0,0,2,156,19,1,23,2,0,2,0,1,0,0,40,4,0,0,loss,2–1
93,1,away,Matt Turner,GK,90,0,0,0,0,656,7,7,22,0,0,5,0,0,2,0,35,0,0,0,loss,2–1
94,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
95,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
96,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
97,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
98,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
99,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
100,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
101,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
102,1,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–1
